Date,Time,Home Id,Away Id
20130518,1800,242,452
20130518,2000,243,573
20130518,2200,481,457
20130519,1200,241,462
20130519,1600,244,448
20130519,1800,453,449
20130519,1945,1853,480
20130519,2130,450,240
20130528,2000,1860,480
20130528,2000,461,110832
20130528,2100,479,481
20130529,2000,457,243
20130529,2000,573,242
20130529,2000,462,450
20130529,2200,452,241
20130530,2000,240,453
20130530,2100,448,1853
20130530,2200,449,244
20130602,2100,110832,1860
20130602,2100,481,461
20130602,2100,243,479
20130602,2100,242,457
20130602,2100,241,573
20130602,2100,450,452
20130602,2100,453,462
20130602,2100,244,240
20130602,2100,1853,449
20130602,2100,480,448
